Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
6073020706,6597,San Diego,92025,Unincorporated San Diego County area,-117.0388245,33.0998055,8.84321154853925,10.3252647503782,10-15%,0.0482775,55.3827006845053,7.728140683,11.1636589919104,0.064684902,23.92034847542,494.5621683,60.0724366179593,16.48785425,8.89729048519219,24.66524879,67.5172413793103,13.20971013,9.68992248062016,651.0140142,32.2125,0.0,0.0,0.0,0.0,0.2,35.6187954996691,4,43.7841243175137,0.2,9.66781214203895,28.3427237235246,3.4606409369457,14.4741754822651,33.88,31.7422731804586,3.04,9.69976905311778,10.28,32.1161515453639,3.5,13.6674259681093,3.2,25.5514954662336,9.0,8.06532663316583,5.9,56.1946902654867,11.4,20.2661596958175,24.634208766038,2.55536812679102,12.8466969238527
6073001900,3271,San Diego,92116,San Diego,-117.1196457,32.7696657,8.78704637537692,10.1613716591024,10-15%,0.0438112,35.1586807716241,9.666494131,45.9863098942128,0.387841344,84.1070317361543,312.860703,28.9871362557762,47.74147688,48.5192186515438,0.0,0.0,239.9885356,37.7969492373093,2083.085113,88.325,1.0,17.077267637178,2.5,16.7524489457081,0.12,20.3176704169424,8,72.1545569088618,0.0,0.0,39.1601568061311,4.7814473676723,40.6845052893591,32.55,29.6111665004985,4.98,51.8219142930459,6.2,4.22482552342971,2.3,7.40318906605922,1.5,11.2735146839897,11.5,13.5175879396985,0.8,0.910983862571577,5.1,1.29277566539924,17.7161228412675,1.83773776007381,5.78668683812406
6073013410,7827,San Diego,91902,Unincorporated San Diego County area,-116.9849399,32.6833235,8.78341396143897,10.148764498235,10-15%,0.045341,40.0497822028625,10.45382582,52.2090852520224,0.037838477,13.5532047293093,428.3987724,49.3817909329337,18.5072506,10.8002520478891,0.0,0.0,369.4230652,45.536384096024,611.1812195,29.2625,0.0,0.0,0.0,0.0,0.17,29.2389146260754,9,77.2994540109198,1.0,35.7159221076747,29.5497026547314,3.60801282470462,16.5525824517735,19.25,8.23778664007976,4.48,38.1832178598922,6.71,6.36839481555334,6.5,28.0814983548469,,,15.2,22.4748743718593,5.2,46.9937532535138,11.3,19.8098859315589,23.4682347082266,2.43441871971673,11.5229450327786
6073021303,9456,San Diego,91935,Jamul,-116.9017298,32.7210437,8.74144303828127,10.0731215330308,10-15%,0.05014528,61.0827629122589,9.853206567,47.6540136901058,0.015112301,5.56316116988177,281.1005052,18.9209441738479,14.35646091,6.93131695022054,0.001465972,5.75862068965517,276.9036102,40.2225556389097,512.0352009,21.85,0.0,0.0,13.0,54.5243234268637,0.41,62.4751819986764,4,43.7841243175137,4.0,70.4238258877434,32.7457783107931,3.99825302747534,23.4474175482265,16.93,5.43369890329013,5.49,64.1775724916603,7.99,13.6839481555334,5.2,22.2222222222222,2.5,19.8673704154825,10.2,10.71608040201,2.8,14.3935450286309,7.2,4.74017743979721,21.0764761425616,2.186315617899,9.0393343419062
6073008101,3760,San Diego,92037,San Diego,-117.2778263,32.8329093,8.73778090023198,10.0605143721634,10-15%,0.04490202,39.9875544492844,9.836119646,47.4922215308027,0.067091539,24.8662103298071,312.860703,28.9871362557762,41.18107928,38.7901701323251,0.0,0.0,135.4246292,27.5068767191798,404.697232,14.475,0.4,5.63643150429265,25.0,74.8298190270629,0.4,61.5751158173395,2,23.8765224695506,0.0,0.0,29.569956705981,3.61048584033914,16.602364654636,16.38,5.04735792622134,5.92,73.5052604567616,5.27,1.52043868394816,0.3,0.151860288534548,0.0,0.0,15.1,22.2236180904523,3.9,29.4117647058824,16.8,48.0608365019011,23.3303174698322,2.42011221941566,11.3464447806354
6073009504,6455,San Diego,92071,San Diego,-117.0284232,32.9019274,8.73191876651603,10.047907211296,10-15%,0.04910169,58.3447417548226,9.032287874,38.0336029869322,0.030989037,10.9396390790292,312.860703,28.9871362557762,12.89510004,5.91052299936988,0.931237178,42.5172413793103,79.5471395,21.4803700925231,1212.953969,69.2125,2.45,27.939529675252,3.75,25.0871658641873,0.465,66.7240238252813,4,43.7841243175137,0.5,22.0847651775487,35.3267868029658,4.3133936517056,29.9564405724953,9.93,0.822532402791625,5.61,67.167051578137,5.01,1.0468594217348,1.8,5.09997468995191,3.4,27.2567329814589,10.0,10.1381909547739,2.6,11.8688183237897,12.5,25.7287705956907,19.5153226550104,2.02437325957098,7.36258194654564
6073020809,7493,San Diego,92065,Ramona,-116.8524089,33.0396539,8.69012572966938,9.92183560262229,5-10%,0.05535282,72.8313627878034,7.261509532,8.15183571873055,0.027874321,9.85687616677038,235.7506142,9.19195703759211,49.90074028,51.3925645872716,0.786467769,41.2068965517241,5.174623333,7.551887971993,305.1766631,8.4875,0.0,0.0,3.0,22.1152249709447,0.035,4.93712772998015,0,0.0,3.5,66.6895761741122,23.6387019934929,2.88628081806559,6.79527069072806,25.42,17.3105682951147,3.17,11.0726199640749,12.28,48.4795613160518,10.9,44.9379903821817,4.7,35.9994586547571,17.9,29.2085427135678,4.6,39.2113482561166,9.7,12.7883396704689,29.0250262302495,3.01083861115551,18.6081694402421
6073017053,3305,San Diego,92064,Poway,-117.0315378,33.0012075,8.68018949011597,9.89662128088754,5-10%,0.04939042,59.6888612321095,8.86835275,34.4492843808339,0.015958706,5.88674548848787,307.6929497,25.4777070063694,20.23409142,12.5519848771267,0.0,0.0,10.6696399,9.11477869467367,543.0887789,24.2875,0.0,0.0,0.0,0.0,0.02,2.51489080079418,8,72.1545569088618,0.0,0.0,19.2660349872771,2.35237904514663,2.50155569383945,24.57,15.6530408773679,7.07,90.5953297408263,9.81,28.1156530408774,2.2,6.94760820045558,3.8,30.0175937203952,4.5,1.19346733668342,6.6,63.4174908901614,13.4,30.2027883396705,35.5718987919152,3.68996208669038,28.1517902168432
6073017031,4170,San Diego,92127,San Diego,-117.0847186,33.0281424,8.5822487879746,9.79576399394856,5-10%,0.04791979,53.7274424393279,8.418820299,20.6471686372122,0.22256678,65.9240821406347,312.860703,28.9871362557762,28.32222421,21.890359168242,3.863547555,52.4827586206897,13.41910043,9.78994748687172,1115.268318,64.8375,0.7,9.59313176558417,15.0,59.604848082351,0.275,46.3534083388484,8,72.1545569088618,0.0,0.0,39.0375959021059,4.76648270563502,40.3484754200373,17.74,6.10667996011964,3.53,16.7693097254298,8.05,14.0952143569292,0.9,1.45532776512275,2.3,18.1079983759643,18.7,31.2562814070352,3.1,18.3107756376887,15.8,42.8263624841572,17.3575419074099,1.80054126239219,5.47150781643974
6073008324,7226,San Diego,92014,San Diego,-117.2502783,32.9516034,8.54002662144711,9.70751386787695,5-10%,0.04539285,42.5637834474175,9.479905939,44.2937149968886,0.206726857,63.3478531425016,306.8259999,25.3278381416261,27.02486567,20.4410838059231,4.56e-06,0.310344827586207,13.7481003,9.96499124781195,2709.843109,94.2,6.0,46.080627099664,15.5,60.4349991698489,0.185,31.3831899404368,9,77.2994540109198,1.25,38.991981672394,41.9834842603638,5.12617508903844,48.5376477909147,8.46,0.361415752741775,4.3,33.7310751860405,6.64,6.13160518444666,1.1,2.30321437610731,4.4,33.9423467316281,7.4,4.91206030150754,4.5,37.7147319104633,10.2,14.6894803548796,16.0601993879967,1.665964676023,4.39989914271306
6073001100,3168,San Diego,92116,San Diego,-117.133414,32.7652989,8.46717388762672,9.5940494200706,5-10%,0.0438112,35.1586807716241,9.720600694,46.3845675171126,0.780124313,96.5276913503423,312.860703,28.9871362557762,53.78940826,56.937618147448,0.0,0.0,247.6578013,38.3345836459115,1656.667053,81.175,0.0,0.0,1.5,10.6425369417234,0.045,5.57246856386499,8,72.1545569088618,0.0,0.0,37.8500773016479,4.62148692039514,36.9135034225264,34.04,31.8793619142572,3.98,26.0713369258404,6.48,5.35892323030907,1.0,1.7717033662364,0.5,1.81350656381107,17.2,27.5628140703518,3.9,29.4117647058824,9.1,10.5449936628644,17.6620819153157,1.8321319595778,5.71104387291982
